,Open,High,Low,Close,Volume,Date
2013-05-28 13:30:00,360.0,365.0,360.0,363.0,4459000.0,2013-05-28 13:30:00
2013-05-29 13:30:00,365.5,365.5,362.5,364.0,4188000.0,2013-05-29 13:30:00
2013-05-30 13:30:00,364.0,364.5,359.0,361.5,4781000.0,2013-05-30 13:30:00
2013-05-31 13:30:00,366.0,372.0,363.0,372.0,9805000.0,2013-05-31 13:30:00
2013-06-03 13:30:00,368.0,369.5,365.0,368.0,4472000.0,2013-06-03 13:30:00
2013-06-04 13:30:00,370.5,373.0,369.0,369.0,4964000.0,2013-06-04 13:30:00
2013-06-05 13:30:00,371.0,373.0,364.5,364.5,4757000.0,2013-06-05 13:30:00
2013-06-06 13:30:00,364.5,368.5,363.5,366.5,4591000.0,2013-06-06 13:30:00
2013-06-07 13:30:00,372.0,372.5,366.5,370.0,7080000.0,2013-06-07 13:30:00
2013-06-10 13:30:00,375.0,377.0,372.0,376.0,6216000.0,2013-06-10 13:30:00
2013-06-11 13:30:00,373.5,373.5,366.0,366.5,8348000.0,2013-06-11 13:30:00
2013-06-13 13:30:00,362.5,364.5,360.0,361.0,5936000.0,2013-06-13 13:30:00
2013-06-14 13:30:00,364.0,364.5,351.0,352.0,6777000.0,2013-06-14 13:30:00
2013-06-17 13:30:00,353.0,356.5,350.0,354.0,6028000.0,2013-06-17 13:30:00
2013-06-18 13:30:00,354.0,356.5,351.0,355.5,4694000.0,2013-06-18 13:30:00
2013-06-19 13:30:00,357.5,358.0,351.5,351.5,5578000.0,2013-06-19 13:30:00
2013-06-20 13:30:00,346.0,348.0,341.5,342.5,8083000.0,2013-06-20 13:30:00
2013-06-21 13:30:00,333.0,336.5,320.5,330.0,16306000.0,2013-06-21 13:30:00
2013-06-24 13:30:00,325.0,325.0,308.5,309.0,13220000.0,2013-06-24 13:30:00
2013-06-25 13:30:00,309.0,320.0,302.0,314.0,15348000.0,2013-06-25 13:30:00
2013-06-26 13:30:00,323.0,331.0,321.0,328.0,13416000.0,2013-06-26 13:30:00
2013-06-27 13:30:00,330.0,332.0,324.0,328.0,11882000.0,2013-06-27 13:30:00
2013-06-28 13:30:00,329.0,348.5,329.0,348.5,13758000.0,2013-06-28 13:30:00
2013-07-01 13:30:00,342.0,346.5,339.5,345.0,8110000.0,2013-07-01 13:30:00
2013-07-02 13:30:00,348.0,348.0,338.5,341.5,5872000.0,2013-07-02 13:30:00
2013-07-03 13:30:00,348.5,349.0,335.5,335.5,8213000.0,2013-07-03 13:30:00
2013-07-04 13:30:00,335.5,339.5,330.0,330.0,5709000.0,2013-07-04 13:30:00
2013-07-05 13:30:00,336.0,347.0,334.0,345.5,9011000.0,2013-07-05 13:30:00
2013-07-08 13:30:00,349.0,350.0,343.5,349.0,9452000.0,2013-07-08 13:30:00
2013-07-09 13:30:00,352.0,354.5,350.0,353.5,5136000.0,2013-07-09 13:30:00
2013-07-10 13:30:00,355.0,355.0,349.0,351.5,5279000.0,2013-07-10 13:30:00
2013-07-11 13:30:00,354.5,356.0,350.0,350.0,7091000.0,2013-07-11 13:30:00
2013-07-12 13:30:00,351.0,360.0,349.5,360.0,10846000.0,2013-07-12 13:30:00
2013-07-15 13:30:00,360.0,361.0,356.5,358.0,7165000.0,2013-07-15 13:30:00
2013-07-16 13:30:00,352.0,355.0,349.5,349.5,7279000.0,2013-07-16 13:30:00
2013-07-17 13:30:00,344.0,347.0,340.0,340.0,7593000.0,2013-07-17 13:30:00
2013-07-18 13:30:00,337.0,337.5,328.0,331.0,7742000.0,2013-07-18 13:30:00
2013-07-19 13:30:00,323.0,328.5,315.0,322.5,11123000.0,2013-07-19 13:30:00
2013-07-22 13:30:00,329.0,333.0,324.5,330.5,5415000.0,2013-07-22 13:30:00
2013-07-23 13:30:00,334.0,348.5,334.0,343.5,8789000.0,2013-07-23 13:30:00
2013-07-24 13:30:00,348.0,348.0,344.0,346.5,5539000.0,2013-07-24 13:30:00
2013-07-25 13:30:00,346.5,356.0,343.5,355.0,8415000.0,2013-07-25 13:30:00
2013-07-26 13:30:00,358.0,363.5,354.5,358.0,7524000.0,2013-07-26 13:30:00
2013-07-29 13:30:00,361.5,364.0,358.5,361.0,6120000.0,2013-07-29 13:30:00
2013-07-30 13:30:00,361.0,361.0,352.0,355.5,5946000.0,2013-07-30 13:30:00
2013-07-31 13:30:00,357.0,361.0,354.0,360.0,6499000.0,2013-07-31 13:30:00
2013-08-01 13:30:00,363.5,366.0,355.5,362.0,6824000.0,2013-08-01 13:30:00
2013-08-02 13:30:00,366.0,366.0,360.0,363.0,6256000.0,2013-08-02 13:30:00
2013-08-05 13:30:00,365.0,365.0,357.0,358.5,4965000.0,2013-08-05 13:30:00
2013-08-06 13:30:00,355.0,355.0,348.0,351.0,5465000.0,2013-08-06 13:30:00
2013-08-07 13:30:00,352.0,357.5,349.0,350.0,5974000.0,2013-08-07 13:30:00
2013-08-08 13:30:00,357.0,358.0,353.0,354.0,5014000.0,2013-08-08 13:30:00
2013-08-09 13:30:00,353.5,353.5,348.5,351.0,3974000.0,2013-08-09 13:30:00
2013-08-12 13:30:00,355.0,355.0,351.0,352.5,2631000.0,2013-08-12 13:30:00
2013-08-13 13:30:00,358.0,366.0,356.0,366.0,10176000.0,2013-08-13 13:30:00
2013-08-14 13:30:00,366.0,366.0,361.0,363.0,5124000.0,2013-08-14 13:30:00
2013-08-15 13:30:00,360.0,366.0,358.0,360.0,5612000.0,2013-08-15 13:30:00
2013-08-16 13:30:00,360.0,364.0,359.0,360.0,3843000.0,2013-08-16 13:30:00
2013-08-19 13:30:00,365.0,379.0,364.0,375.0,11064000.0,2013-08-19 13:30:00
2013-08-20 13:30:00,375.0,382.0,368.5,370.0,8948000.0,2013-08-20 13:30:00
2013-08-22 13:30:00,372.5,372.5,367.0,368.0,6374000.0,2013-08-22 13:30:00
2013-08-23 13:30:00,373.0,374.0,367.0,367.0,4123000.0,2013-08-23 13:30:00
2013-08-26 13:30:00,375.0,376.5,367.5,367.5,5709000.0,2013-08-26 13:30:00
2013-08-27 13:30:00,370.5,375.5,367.5,367.5,7217000.0,2013-08-27 13:30:00
2013-08-28 13:30:00,366.0,373.0,366.0,366.0,7159000.0,2013-08-28 13:30:00
2013-08-29 13:30:00,368.0,368.5,359.0,363.5,10285000.0,2013-08-29 13:30:00
2013-08-30 13:30:00,365.0,367.0,360.0,367.0,6695000.0,2013-08-30 13:30:00
2013-09-02 13:30:00,366.0,366.0,358.0,358.0,5924000.0,2013-09-02 13:30:00
2013-09-03 13:30:00,362.0,364.5,360.5,363.5,6067000.0,2013-09-03 13:30:00
2013-09-04 13:30:00,362.5,366.0,362.0,365.0,4016000.0,2013-09-04 13:30:00
2013-09-05 13:30:00,363.5,367.5,362.0,367.5,4963000.0,2013-09-05 13:30:00
2013-09-06 13:30:00,366.0,372.0,365.5,369.5,7127000.0,2013-09-06 13:30:00
2013-09-09 13:30:00,372.0,372.0,366.0,370.0,5659000.0,2013-09-09 13:30:00
2013-09-10 13:30:00,372.0,372.5,365.0,369.0,5597000.0,2013-09-10 13:30:00
2013-09-11 13:30:00,369.0,370.0,364.5,370.0,5083000.0,2013-09-11 13:30:00
2013-09-12 13:30:00,372.0,375.0,369.0,374.0,6276000.0,2013-09-12 13:30:00
2013-09-13 13:30:00,374.5,375.5,370.5,370.5,4304000.0,2013-09-13 13:30:00
2013-09-16 13:30:00,369.0,370.0,365.5,370.0,4466000.0,2013-09-16 13:30:00
2013-09-17 13:30:00,370.0,372.5,368.0,372.0,4503000.0,2013-09-17 13:30:00
2013-09-18 13:30:00,372.0,372.0,370.0,370.0,3842000.0,2013-09-18 13:30:00
2013-09-23 13:30:00,372.0,373.5,368.5,371.0,4378000.0,2013-09-23 13:30:00
2013-09-24 13:30:00,374.0,374.0,368.5,369.5,4463000.0,2013-09-24 13:30:00
2013-09-25 13:30:00,367.0,371.5,365.5,371.5,3696000.0,2013-09-25 13:30:00
2013-09-26 13:30:00,367.0,372.0,367.0,372.0,5994000.0,2013-09-26 13:30:00
2013-09-27 13:30:00,372.0,373.5,370.5,370.5,6506000.0,2013-09-27 13:30:00
2013-09-30 13:30:00,368.5,369.0,361.0,365.5,5571000.0,2013-09-30 13:30:00
2013-10-01 13:30:00,365.5,368.5,365.0,365.5,4476000.0,2013-10-01 13:30:00
2013-10-02 13:30:00,369.0,371.5,368.0,368.0,5248000.0,2013-10-02 13:30:00
2013-10-03 13:30:00,370.5,378.0,369.5,376.0,13404000.0,2013-10-03 13:30:00
2013-10-04 13:30:00,377.0,379.5,376.5,379.5,8802000.0,2013-10-04 13:30:00
2013-10-07 13:30:00,380.0,382.0,373.0,373.0,6433000.0,2013-10-07 13:30:00
2013-10-08 13:30:00,374.5,381.0,374.0,378.5,7698000.0,2013-10-08 13:30:00
2013-10-09 13:30:00,381.0,382.0,376.5,382.0,8347000.0,2013-10-09 13:30:00
2013-10-11 13:30:00,386.5,387.5,383.5,384.5,8483000.0,2013-10-11 13:30:00
2013-10-14 13:30:00,387.0,387.0,380.0,384.5,6041000.0,2013-10-14 13:30:00
2013-10-15 13:30:00,388.0,394.0,385.5,394.0,10988000.0,2013-10-15 13:30:00
2013-10-16 13:30:00,395.0,397.5,388.5,389.5,8562000.0,2013-10-16 13:30:00
2013-10-17 13:30:00,394.0,396.0,390.0,394.0,6192000.0,2013-10-17 13:30:00
2013-10-18 13:30:00,396.5,396.5,393.0,395.0,3492000.0,2013-10-18 13:30:00
2013-10-21 13:30:00,397.0,397.0,389.5,391.5,4853000.0,2013-10-21 13:30:00
2013-10-22 13:30:00,388.0,391.5,385.0,391.5,5924000.0,2013-10-22 13:30:00
2013-10-23 13:30:00,393.0,397.0,391.5,396.0,6210000.0,2013-10-23 13:30:00
2013-10-24 13:30:00,395.0,395.0,391.5,394.0,4751000.0,2013-10-24 13:30:00
2013-10-25 13:30:00,391.0,394.0,388.0,388.5,3099000.0,2013-10-25 13:30:00
2013-10-28 13:30:00,388.5,393.5,387.5,391.0,2970000.0,2013-10-28 13:30:00
2013-10-29 13:30:00,391.5,396.0,390.0,395.0,4223000.0,2013-10-29 13:30:00
2013-10-30 13:30:00,397.0,398.5,392.5,395.0,4069000.0,2013-10-30 13:30:00
2013-10-31 13:30:00,396.5,402.0,394.0,402.0,7758000.0,2013-10-31 13:30:00
2013-11-01 13:30:00,405.0,412.5,403.5,404.5,6689000.0,2013-11-01 13:30:00
2013-11-04 13:30:00,414.0,432.5,413.5,432.5,21695000.0,2013-11-04 13:30:00
2013-11-05 13:30:00,437.0,448.5,430.0,430.0,14893000.0,2013-11-05 13:30:00
2013-11-06 13:30:00,433.0,437.0,425.5,432.0,6275000.0,2013-11-06 13:30:00
2013-11-07 13:30:00,436.5,437.0,428.5,429.5,3883000.0,2013-11-07 13:30:00
2013-11-08 13:30:00,429.5,435.0,427.0,428.0,3750000.0,2013-11-08 13:30:00
2013-11-11 13:30:00,426.0,434.0,426.0,426.0,4061000.0,2013-11-11 13:30:00
2013-11-12 13:30:00,426.0,428.0,410.0,415.0,6620000.0,2013-11-12 13:30:00
2013-11-13 13:30:00,416.0,422.0,412.5,412.5,7246000.0,2013-11-13 13:30:00
2013-11-14 13:30:00,410.0,418.0,410.0,410.5,7198000.0,2013-11-14 13:30:00
2013-11-15 13:30:00,412.0,417.0,410.5,410.5,6127000.0,2013-11-15 13:30:00
2013-11-18 13:30:00,410.0,414.5,410.0,414.0,6486000.0,2013-11-18 13:30:00
2013-11-19 13:30:00,418.0,432.0,416.0,431.5,9532000.0,2013-11-19 13:30:00
2013-11-20 13:30:00,432.0,432.0,418.5,419.0,9138000.0,2013-11-20 13:30:00
2013-11-21 13:30:00,424.0,424.0,412.5,415.0,7419000.0,2013-11-21 13:30:00
2013-11-22 13:30:00,416.5,425.5,416.5,424.0,5893000.0,2013-11-22 13:30:00
2013-11-25 13:30:00,430.0,432.0,426.5,428.0,5739000.0,2013-11-25 13:30:00
2013-11-26 13:30:00,429.5,434.0,424.0,431.5,5966000.0,2013-11-26 13:30:00
2013-11-27 13:30:00,435.0,435.0,428.5,428.5,2893000.0,2013-11-27 13:30:00
2013-11-28 13:30:00,425.5,436.5,425.5,435.0,4981000.0,2013-11-28 13:30:00
2013-11-29 13:30:00,438.0,438.0,433.5,436.0,5904000.0,2013-11-29 13:30:00
2013-12-02 13:30:00,437.0,437.0,428.5,430.0,4370000.0,2013-12-02 13:30:00
2013-12-03 13:30:00,431.0,435.0,429.5,434.5,3206000.0,2013-12-03 13:30:00
2013-12-04 13:30:00,434.0,435.0,429.5,435.0,3346000.0,2013-12-04 13:30:00
2013-12-05 13:30:00,435.0,435.0,430.5,430.5,2445000.0,2013-12-05 13:30:00
2013-12-06 13:30:00,430.0,433.5,428.0,430.0,3903000.0,2013-12-06 13:30:00
2013-12-09 13:30:00,435.0,435.0,428.0,428.0,3757000.0,2013-12-09 13:30:00
2013-12-10 13:30:00,431.5,431.5,426.0,429.5,2985000.0,2013-12-10 13:30:00
2013-12-11 13:30:00,429.5,432.0,427.0,430.0,3681000.0,2013-12-11 13:30:00
2013-12-12 13:30:00,426.0,428.0,412.0,421.0,6519000.0,2013-12-12 13:30:00
2013-12-13 13:30:00,421.0,421.0,412.0,417.0,5577000.0,2013-12-13 13:30:00
2013-12-16 13:30:00,420.0,420.0,412.0,417.0,4902000.0,2013-12-16 13:30:00
2013-12-17 13:30:00,420.0,425.0,419.0,423.5,5343000.0,2013-12-17 13:30:00
2013-12-18 13:30:00,426.5,427.0,418.0,418.0,4951000.0,2013-12-18 13:30:00
2013-12-19 13:30:00,425.0,429.0,423.0,429.0,4724000.0,2013-12-19 13:30:00
2013-12-20 13:30:00,430.0,434.0,428.0,432.5,5984000.0,2013-12-20 13:30:00
2013-12-23 13:30:00,435.0,436.5,431.5,431.5,4279000.0,2013-12-23 13:30:00
2013-12-24 13:30:00,434.0,434.0,427.5,427.5,2764000.0,2013-12-24 13:30:00
2013-12-25 13:30:00,431.0,431.5,428.0,430.0,1856000.0,2013-12-25 13:30:00
2013-12-26 13:30:00,429.5,430.5,428.0,428.5,1384000.0,2013-12-26 13:30:00
2013-12-27 13:30:00,433.0,437.0,430.0,436.0,5866000.0,2013-12-27 13:30:00
2013-12-30 13:30:00,438.0,446.0,436.5,444.5,7132000.0,2013-12-30 13:30:00
2013-12-31 13:30:00,446.0,447.0,441.0,443.5,4191000.0,2013-12-31 13:30:00
2014-01-02 13:30:00,445.0,447.5,441.0,441.0,3756000.0,2014-01-02 13:30:00
2014-01-03 13:30:00,443.0,443.0,433.0,435.5,3771000.0,2014-01-03 13:30:00
2014-01-06 13:30:00,435.5,438.0,431.5,431.5,3237000.0,2014-01-06 13:30:00
2014-01-07 13:30:00,430.0,430.5,418.5,418.5,11988000.0,2014-01-07 13:30:00
2014-01-08 13:30:00,418.5,418.5,402.0,407.0,15774000.0,2014-01-08 13:30:00
2014-01-09 13:30:00,409.0,415.0,407.5,412.0,8776000.0,2014-01-09 13:30:00
2014-01-10 13:30:00,415.0,419.0,413.0,417.0,7060000.0,2014-01-10 13:30:00
2014-01-13 13:30:00,420.0,422.0,415.5,415.5,4955000.0,2014-01-13 13:30:00
2014-01-14 13:30:00,415.0,417.0,413.0,415.5,5648000.0,2014-01-14 13:30:00
2014-01-15 13:30:00,415.0,420.0,412.5,419.0,10755000.0,2014-01-15 13:30:00
2014-01-16 13:30:00,420.0,423.0,417.0,418.0,5624000.0,2014-01-16 13:30:00
2014-01-17 13:30:00,418.0,420.0,415.0,415.0,2498000.0,2014-01-17 13:30:00
2014-01-20 13:30:00,415.0,417.0,407.0,410.0,5266000.0,2014-01-20 13:30:00
2014-01-21 13:30:00,402.0,402.0,386.0,388.0,17256000.0,2014-01-21 13:30:00
2014-01-22 13:30:00,385.0,401.0,384.0,399.0,10317000.0,2014-01-22 13:30:00
2014-01-23 13:30:00,400.0,405.5,400.0,402.0,5624000.0,2014-01-23 13:30:00
2014-01-24 13:30:00,404.0,407.5,401.0,407.5,3889000.0,2014-01-24 13:30:00
2014-01-27 13:30:00,403.5,406.5,396.5,400.5,7984000.0,2014-01-27 13:30:00
2014-02-05 13:30:00,390.0,405.0,389.5,401.0,12088000.0,2014-02-05 13:30:00
2014-02-06 13:30:00,409.0,410.0,403.5,407.5,7293000.0,2014-02-06 13:30:00
2014-02-07 13:30:00,412.5,412.5,405.0,409.5,5837000.0,2014-02-07 13:30:00
2014-02-10 13:30:00,414.0,414.5,407.5,410.0,2863000.0,2014-02-10 13:30:00
2014-02-11 13:30:00,410.0,420.0,408.0,419.0,5554000.0,2014-02-11 13:30:00
2014-02-12 13:30:00,425.0,436.5,425.0,434.0,13075000.0,2014-02-12 13:30:00
2014-02-13 13:30:00,434.0,434.0,428.0,429.0,4879000.0,2014-02-13 13:30:00
2014-02-14 13:30:00,434.0,437.5,428.5,431.5,5243000.0,2014-02-14 13:30:00
2014-02-17 13:30:00,434.5,434.5,428.5,429.0,3494000.0,2014-02-17 13:30:00
2014-02-18 13:30:00,434.0,434.0,429.5,433.5,2678000.0,2014-02-18 13:30:00
2014-02-19 13:30:00,435.0,435.0,431.0,435.0,2648000.0,2014-02-19 13:30:00
2014-02-20 13:30:00,435.0,437.0,432.5,435.0,3914000.0,2014-02-20 13:30:00
2014-02-21 13:30:00,437.0,437.0,433.5,436.0,3931000.0,2014-02-21 13:30:00
2014-02-24 13:30:00,436.0,437.5,435.0,436.0,2858000.0,2014-02-24 13:30:00
2014-02-25 13:30:00,438.0,447.0,438.0,445.5,9653000.0,2014-02-25 13:30:00
2014-02-26 13:30:00,445.0,449.0,444.0,445.5,8131000.0,2014-02-26 13:30:00
2014-02-27 13:30:00,448.0,455.0,443.0,445.0,9991000.0,2014-02-27 13:30:00
2014-03-03 13:30:00,453.0,453.0,443.0,450.0,8013000.0,2014-03-03 13:30:00
2014-03-04 13:30:00,452.0,454.0,445.0,445.0,4573000.0,2014-03-04 13:30:00
2014-03-05 13:30:00,450.0,453.0,447.5,450.5,5231000.0,2014-03-05 13:30:00
2014-03-06 13:30:00,451.5,465.0,451.0,465.0,10955000.0,2014-03-06 13:30:00
2014-03-07 13:30:00,471.0,481.5,465.5,473.0,13983000.0,2014-03-07 13:30:00
2014-03-10 13:30:00,477.0,479.0,470.5,472.0,4745000.0,2014-03-10 13:30:00
2014-03-11 13:30:00,474.0,478.5,472.5,474.5,3695000.0,2014-03-11 13:30:00
2014-03-12 13:30:00,460.0,468.5,456.0,456.0,7823000.0,2014-03-12 13:30:00
2014-03-13 13:30:00,456.0,461.5,451.0,452.0,9183000.0,2014-03-13 13:30:00
2014-03-14 13:30:00,450.0,461.5,448.0,460.0,5808000.0,2014-03-14 13:30:00
2014-03-17 13:30:00,456.0,458.0,449.0,453.0,4471000.0,2014-03-17 13:30:00
2014-03-18 13:30:00,455.0,457.5,449.0,453.0,4554000.0,2014-03-18 13:30:00
2014-03-19 13:30:00,448.0,448.0,438.5,440.0,8919000.0,2014-03-19 13:30:00
2014-03-20 13:30:00,439.0,447.0,438.5,443.5,6015000.0,2014-03-20 13:30:00
2014-03-21 13:30:00,449.0,449.0,442.5,442.5,4530000.0,2014-03-21 13:30:00
2014-03-24 13:30:00,442.0,444.5,433.0,444.0,5351000.0,2014-03-24 13:30:00
2014-03-25 13:30:00,438.0,451.0,437.0,451.0,3920000.0,2014-03-25 13:30:00
2014-03-26 13:30:00,456.0,459.5,454.0,457.5,5185000.0,2014-03-26 13:30:00
2014-03-27 13:30:00,453.0,457.5,451.5,452.0,3561000.0,2014-03-27 13:30:00
2014-03-28 13:30:00,450.0,456.0,443.0,445.0,4775000.0,2014-03-28 13:30:00
2014-03-31 13:30:00,445.0,451.5,444.5,449.5,4268000.0,2014-03-31 13:30:00
2014-04-01 13:30:00,449.0,463.5,448.5,463.5,5687000.0,2014-04-01 13:30:00
2014-04-02 13:30:00,466.0,473.0,464.5,467.0,6507000.0,2014-04-02 13:30:00
2014-04-03 13:30:00,470.0,472.0,456.5,458.0,5591000.0,2014-04-03 13:30:00
2014-04-07 13:30:00,454.0,462.5,452.0,461.0,9042000.0,2014-04-07 13:30:00
