,Open,High,Low,Close,Volume,Date
2014-05-14 13:30:00,30.0,30.9,28.0,28.2,7759000.0,2014-05-14 13:30:00
2014-05-15 13:30:00,27.9,28.55,27.0,27.4,3744000.0,2014-05-15 13:30:00
2014-05-16 13:30:00,27.45,29.5,27.45,29.1,4097000.0,2014-05-16 13:30:00
2014-05-19 13:30:00,29.2,30.2,28.9,29.8,2521000.0,2014-05-19 13:30:00
2014-05-20 13:30:00,29.5,29.85,28.75,29.0,1349000.0,2014-05-20 13:30:00
2014-05-21 13:30:00,29.0,29.0,27.8,28.0,1515000.0,2014-05-21 13:30:00
2014-05-22 13:30:00,28.2,29.5,28.05,28.5,1698000.0,2014-05-22 13:30:00
2014-05-23 13:30:00,28.8,28.8,27.85,28.25,1271000.0,2014-05-23 13:30:00
2014-05-26 13:30:00,28.2,29.5,28.2,28.9,2013000.0,2014-05-26 13:30:00
2014-05-27 13:30:00,28.9,30.9,28.35,30.9,4631000.0,2014-05-27 13:30:00
2014-05-28 13:30:00,31.7,32.8,31.0,31.75,6407000.0,2014-05-28 13:30:00
2014-05-29 13:30:00,31.3,31.75,30.75,31.4,2594000.0,2014-05-29 13:30:00
2014-05-30 13:30:00,31.45,31.9,30.85,30.9,1814000.0,2014-05-30 13:30:00
2014-06-03 13:30:00,31.1,31.5,30.65,30.7,1327000.0,2014-06-03 13:30:00
2014-06-04 13:30:00,30.7,30.95,29.6,29.7,1745000.0,2014-06-04 13:30:00
2014-06-05 13:30:00,29.5,29.8,29.1,29.15,1552000.0,2014-06-05 13:30:00
2014-06-06 13:30:00,29.2,30.35,29.2,29.65,1236000.0,2014-06-06 13:30:00
2014-06-09 13:30:00,30.0,30.0,29.05,29.25,884000.0,2014-06-09 13:30:00
2014-06-10 13:30:00,29.0,29.25,28.7,28.7,1270000.0,2014-06-10 13:30:00
2014-06-11 13:30:00,28.8,29.2,28.5,28.6,711000.0,2014-06-11 13:30:00
2014-06-12 13:30:00,28.75,29.7,28.75,29.2,1013000.0,2014-06-12 13:30:00
2014-06-13 13:30:00,29.2,29.2,28.75,28.8,698000.0,2014-06-13 13:30:00
2014-06-16 13:30:00,28.6,29.2,28.5,28.6,591000.0,2014-06-16 13:30:00
2014-06-17 13:30:00,28.6,29.0,28.45,28.6,631000.0,2014-06-17 13:30:00
2014-06-18 13:30:00,28.6,28.9,28.15,28.2,640000.0,2014-06-18 13:30:00
