,Open,High,Low,Close,Volume,Date
2013-05-28 13:30:00,57.4,57.45,57.15,57.15,2336000.0,2013-05-28 13:30:00
2013-05-29 13:30:00,57.35,57.8,57.35,57.65,7975000.0,2013-05-29 13:30:00
2013-05-30 13:30:00,57.4,57.45,56.85,56.95,8815000.0,2013-05-30 13:30:00
2013-05-31 13:30:00,57.5,57.7,56.8,56.95,9214000.0,2013-05-31 13:30:00
2013-06-03 13:30:00,56.45,56.75,56.25,56.7,6517000.0,2013-06-03 13:30:00
2013-06-04 13:30:00,56.7,56.8,56.35,56.6,4226000.0,2013-06-04 13:30:00
2013-06-05 13:30:00,56.55,56.75,56.35,56.6,3444000.0,2013-06-05 13:30:00
2013-06-06 13:30:00,56.2,56.3,55.75,55.9,15031000.0,2013-06-06 13:30:00
2013-06-07 13:30:00,55.95,56.15,55.9,56.05,9022000.0,2013-06-07 13:30:00
2013-06-10 13:30:00,56.55,56.7,56.4,56.5,3484000.0,2013-06-10 13:30:00
2013-06-11 13:30:00,56.55,56.65,56.25,56.35,4669000.0,2013-06-11 13:30:00
2013-06-13 13:30:00,55.9,55.9,55.0,55.0,32934000.0,2013-06-13 13:30:00
2013-06-14 13:30:00,55.15,55.15,54.7,54.8,18055000.0,2013-06-14 13:30:00
2013-06-17 13:30:00,54.85,55.15,54.8,55.15,5318000.0,2013-06-17 13:30:00
2013-06-18 13:30:00,55.15,55.4,54.85,55.4,8753000.0,2013-06-18 13:30:00
2013-06-19 13:30:00,55.5,55.5,55.15,55.3,6063000.0,2013-06-19 13:30:00
2013-06-20 13:30:00,55.0,55.0,54.2,54.25,25446000.0,2013-06-20 13:30:00
2013-06-21 13:30:00,54.1,54.1,53.25,53.6,34584000.0,2013-06-21 13:30:00
2013-06-24 13:30:00,53.4,53.5,53.1,53.4,21204000.0,2013-06-24 13:30:00
2013-06-25 13:30:00,53.3,53.7,52.95,53.0,19387000.0,2013-06-25 13:30:00
2013-06-26 13:30:00,53.6,53.8,53.3,53.7,9873000.0,2013-06-26 13:30:00
2013-06-27 13:30:00,54.05,54.35,53.9,54.35,22227000.0,2013-06-27 13:30:00
2013-06-28 13:30:00,54.4,55.1,54.3,55.1,13493000.0,2013-06-28 13:30:00
2013-07-01 13:30:00,54.8,55.7,54.8,55.6,13752000.0,2013-07-01 13:30:00
2013-07-02 13:30:00,55.65,55.75,55.45,55.5,4648000.0,2013-07-02 13:30:00
2013-07-03 13:30:00,55.2,55.4,54.85,54.85,6958000.0,2013-07-03 13:30:00
2013-07-04 13:30:00,54.9,55.15,54.8,54.95,4864000.0,2013-07-04 13:30:00
2013-07-05 13:30:00,55.25,56.05,55.2,56.05,17632000.0,2013-07-05 13:30:00
2013-07-08 13:30:00,56.05,56.05,54.95,55.0,8625000.0,2013-07-08 13:30:00
2013-07-09 13:30:00,55.0,55.7,54.95,55.65,4046000.0,2013-07-09 13:30:00
2013-07-10 13:30:00,55.75,56.3,55.65,55.8,9088000.0,2013-07-10 13:30:00
2013-07-11 13:30:00,56.75,57.4,56.7,57.2,30246000.0,2013-07-11 13:30:00
2013-07-12 13:30:00,57.2,57.4,57.1,57.35,12910000.0,2013-07-12 13:30:00
2013-07-15 13:30:00,57.35,57.7,57.1,57.5,14142000.0,2013-07-15 13:30:00
