,Open,High,Low,Close,Volume,Date
2013-05-28 13:30:00,57.2,57.3,56.6,57.2,3066000.0,2013-05-28 13:30:00
2013-05-29 13:30:00,58.2,61.2,58.1,61.1,17371000.0,2013-05-29 13:30:00
2013-05-30 13:30:00,60.9,60.9,59.8,59.8,11423000.0,2013-05-30 13:30:00
2013-05-31 13:30:00,60.8,60.8,59.2,59.2,6031000.0,2013-05-31 13:30:00
2013-06-03 13:30:00,59.0,61.6,58.7,61.2,9005000.0,2013-06-03 13:30:00
2013-06-04 13:30:00,61.2,61.3,60.0,60.0,4339000.0,2013-06-04 13:30:00
2013-06-05 13:30:00,60.3,60.5,59.5,59.7,6813000.0,2013-06-05 13:30:00
2013-06-06 13:30:00,59.3,60.2,59.2,59.8,8603000.0,2013-06-06 13:30:00
2013-06-07 13:30:00,61.5,62.1,60.8,61.6,13989000.0,2013-06-07 13:30:00
2013-06-10 13:30:00,62.5,62.9,60.2,60.3,10473000.0,2013-06-10 13:30:00
2013-06-11 13:30:00,60.3,60.7,58.6,58.8,7536000.0,2013-06-11 13:30:00
2013-06-13 13:30:00,58.5,59.2,55.8,56.7,12369000.0,2013-06-13 13:30:00
2013-06-14 13:30:00,58.0,58.0,54.7,55.0,9388000.0,2013-06-14 13:30:00
2013-06-17 13:30:00,56.0,57.4,55.1,57.3,8414000.0,2013-06-17 13:30:00
2013-06-18 13:30:00,57.0,57.1,56.0,56.0,4912000.0,2013-06-18 13:30:00
2013-06-19 13:30:00,56.3,56.8,55.0,55.0,8129000.0,2013-06-19 13:30:00
2013-06-20 13:30:00,54.6,55.3,52.4,52.9,11891000.0,2013-06-20 13:30:00
2013-06-21 13:30:00,51.6,52.6,50.3,52.1,15952000.0,2013-06-21 13:30:00
2013-06-24 13:30:00,51.9,52.5,50.5,50.7,8638000.0,2013-06-24 13:30:00
2013-06-25 13:30:00,50.5,51.7,49.5,49.6,12197000.0,2013-06-25 13:30:00
2013-06-26 13:30:00,51.2,51.7,50.1,50.7,6456000.0,2013-06-26 13:30:00
2013-06-27 13:30:00,51.2,52.4,51.2,51.9,6374000.0,2013-06-27 13:30:00
2013-06-28 13:30:00,52.0,52.8,51.3,52.8,4475000.0,2013-06-28 13:30:00
2013-07-01 13:30:00,52.6,55.4,52.4,54.6,11971000.0,2013-07-01 13:30:00
2013-07-02 13:30:00,54.5,54.9,53.6,53.6,5045000.0,2013-07-02 13:30:00
2013-07-03 13:30:00,53.6,54.5,53.1,53.8,5158000.0,2013-07-03 13:30:00
2013-07-04 13:30:00,54.5,54.5,53.4,53.7,4193000.0,2013-07-04 13:30:00
2013-07-05 13:30:00,53.1,53.2,50.5,52.4,8608000.0,2013-07-05 13:30:00
2013-07-08 13:30:00,52.6,52.8,51.8,52.2,2737000.0,2013-07-08 13:30:00
2013-07-09 13:30:00,52.2,53.2,52.2,53.1,2674000.0,2013-07-09 13:30:00
2013-07-10 13:30:00,53.4,53.8,52.0,52.0,3811000.0,2013-07-10 13:30:00
2013-07-11 13:30:00,53.0,55.5,52.9,55.0,7480000.0,2013-07-11 13:30:00
2013-07-12 13:30:00,55.0,56.0,54.3,56.0,5363000.0,2013-07-12 13:30:00
2013-07-15 13:30:00,56.2,56.2,54.5,55.2,2463000.0,2013-07-15 13:30:00
2013-07-16 13:30:00,54.6,55.2,53.1,54.3,4742000.0,2013-07-16 13:30:00
2013-07-17 13:30:00,53.5,54.9,53.5,54.3,4051000.0,2013-07-17 13:30:00
2013-07-18 13:30:00,54.0,54.2,51.5,51.7,7812000.0,2013-07-18 13:30:00
2013-07-19 13:30:00,51.7,52.7,51.5,52.2,5346000.0,2013-07-19 13:30:00
2013-07-22 13:30:00,53.0,53.2,51.7,52.0,4634000.0,2013-07-22 13:30:00
2013-07-23 13:30:00,52.6,53.8,52.5,53.5,4353000.0,2013-07-23 13:30:00
2013-07-24 13:30:00,53.8,54.0,52.3,52.4,5121000.0,2013-07-24 13:30:00
2013-07-25 13:30:00,52.4,53.1,52.1,52.5,2622000.0,2013-07-25 13:30:00
