Date,Open,High,Low,Close,Adj Close,Volume
2016-04-25,16.850000,17.450001,16.700001,17.350000,17.350000,9793000
2016-04-26,17.549999,18.200001,17.549999,18.000000,18.000000,12379000
2016-04-27,17.900000,17.900000,17.600000,17.600000,17.600000,4937000
2016-04-28,17.299999,17.450001,17.000000,17.000000,17.000000,13272000
2016-04-29,16.850000,17.450001,16.850000,17.299999,17.299999,6778000
2016-05-03,17.500000,17.549999,17.100000,17.100000,17.100000,7964000
2016-05-04,17.150000,17.299999,17.049999,17.200001,17.200001,3878000
2016-05-05,17.100000,17.350000,17.049999,17.299999,17.299999,3156000
2016-05-06,17.299999,17.299999,17.049999,17.049999,17.049999,2857000
2016-05-09,17.350000,17.400000,16.650000,16.650000,16.650000,5218000
2016-05-10,16.600000,16.900000,16.549999,16.750000,16.750000,4821000
2016-05-11,17.000000,17.100000,16.750000,16.799999,16.799999,4082000
2016-05-12,16.650000,16.850000,16.400000,16.400000,16.400000,3971000
2016-05-13,16.250000,16.350000,15.400000,15.600000,15.600000,12363000
2016-05-16,15.500000,16.150000,15.350000,15.950000,15.950000,7245000
2016-05-17,16.100000,17.150000,15.950000,17.100000,17.100000,14007000
2016-05-18,16.900000,17.299999,16.850000,17.049999,17.049999,6398000
2016-05-19,17.150000,17.400000,16.950001,17.150000,17.150000,7583000
2016-05-20,17.250000,17.549999,17.049999,17.200001,17.200001,8704000
2016-05-23,17.299999,17.700001,17.250000,17.400000,17.400000,6157000
2016-05-24,17.400000,17.900000,17.299999,17.799999,17.799999,7938000
2016-05-25,17.950001,18.000000,17.450001,17.600000,17.600000,10820000
2016-05-26,18.049999,18.500000,17.799999,17.799999,17.799999,21833000
2016-05-27,17.950001,18.000000,17.549999,17.600000,17.600000,8101000
2016-05-30,17.650000,17.799999,17.500000,17.600000,17.600000,5005000
2016-05-31,18.000000,18.700001,17.900000,17.900000,17.900000,23569000
2016-06-01,17.900000,18.200001,17.900000,18.100000,18.100000,7067000
2016-06-02,18.150000,18.150000,17.350000,17.350000,17.350000,10851000
2016-06-03,17.400000,17.549999,17.049999,17.150000,17.150000,8603000
2016-06-04,null,null,null,null,null,null
2016-06-06,16.799999,17.000000,16.600000,16.850000,16.850000,6670000
2016-06-07,17.150000,17.700001,17.150000,17.500000,17.500000,13663000
2016-06-08,17.500000,17.600000,17.299999,17.299999,17.299999,5822000
2016-06-13,17.100000,17.100000,16.850000,16.900000,16.900000,5486000
2016-06-14,17.150000,17.450001,17.100000,17.200001,17.200001,6019000
2016-06-15,17.299999,17.299999,17.000000,17.250000,17.250000,4051000
2016-06-16,17.250000,17.299999,16.950001,17.150000,17.150000,3182000
2016-06-17,17.450001,17.500000,17.150000,17.250000,17.250000,5189000
2016-06-20,17.400000,17.600000,17.350000,17.600000,17.600000,5513000
2016-06-21,17.700001,17.700001,17.450001,17.450001,17.450001,5207000
2016-06-22,17.500000,17.900000,17.500000,17.700001,17.700001,9961000
2016-06-23,17.700001,17.850000,17.400000,17.450001,17.450001,8253000
2016-06-24,17.600000,17.600000,16.900000,16.950001,16.950001,9999000
2016-06-27,16.850000,17.100000,16.850000,17.049999,17.049999,3071000
2016-06-28,16.900000,17.299999,16.900000,17.200001,17.200001,90000
2016-06-29,17.299999,17.450001,17.200001,17.400000,17.400000,4616000
2016-06-30,17.500000,18.200001,17.500000,17.799999,17.799999,23215000
2016-07-01,18.000000,18.049999,17.549999,17.650000,17.650000,6849000
2016-07-04,17.549999,17.600000,17.200001,17.400000,17.400000,5435000
2016-07-05,17.450001,17.650000,17.400000,17.450001,17.450001,3321000
2016-07-06,17.400000,17.600000,17.350000,17.350000,17.350000,3161000
2016-07-07,17.549999,17.600000,17.400000,17.450001,17.450001,3043000
2016-07-08,null,null,null,null,null,null
2016-07-11,17.500000,17.549999,17.100000,17.150000,17.150000,8653000
2016-07-12,17.250000,17.299999,17.100000,17.100000,17.100000,4259000
2016-07-13,17.150000,17.250000,17.049999,17.150000,17.150000,3779000
2016-07-14,17.150000,17.200001,17.000000,17.100000,17.100000,4779000
2016-07-15,17.100000,17.250000,17.000000,17.100000,17.100000,7042000
2016-07-18,17.150000,17.600000,17.150000,17.200001,17.200001,8473000
2016-07-19,17.200001,17.299999,17.049999,17.100000,17.100000,3330000
2016-07-20,17.049999,17.250000,17.049999,17.200001,17.200001,4361000
2016-07-21,17.200001,17.250000,17.049999,17.150000,17.150000,5786000
2016-07-22,17.150000,17.700001,17.049999,17.299999,17.299999,18405000
2016-07-25,17.400000,17.450001,17.000000,17.000000,17.000000,9613000
2016-07-26,17.000000,17.000000,16.700001,16.799999,16.799999,6469000
