9906,興達
1309,台達
2881,富邦金
2308,台達電子
2617,台航
1473,台南
1216,統一
2330,台積電
1435,中福
1439,中和
2612,中航
1470,大統
9941,裕融
1603,華電
2424,隴華
9921,巨大
1316,上曜
TAIEX,台股大盤
2906,高林實業
2347,聯強
1217,愛之味
2453,凌群
2707,晶華
2444,友旺
9940,信義
1476,儒鴻
2912,統一超商
3057,喬鼎
1506,正道
2601,益航
2484,希華
2511,太子
2351,順德
2495,普安
2524,京城
2332,友訊
2527,宏璟
1537,廣隆
1319,東陽
2305,全友
2616,山隆
1604,聲寶
3059,華晶科
1234,黑松
1235,興泰
9944,新麗
9914,美利達
1907,永豐餘
1419,新紡
2884,玉山金
3002,歐格
2357,華碩
1447,力鵬
1713,國化
2442,美齊
1729,必翔
2104,中橡
1526,日馳
1308,亞聚
2885,復華金
1314,中石化
3038,全台
3011,今皓
2423,固緯
2913,農林
1906,寶隆
2480,敦陽科
2481,強茂
1313,聯成
2539,櫻建
2409,友達
1608,華榮
1909,榮成
9939,宏全國際
2371,大同
3060,銘異
2397,友通資訊
2414,精技
2405,浩鑫
2201,裕隆
9934,成霖
2302,麗正
1730,花仙子
2841,台開
2324,仁寶
2380,虹光
2415,錩新
2705,六福
1541,錩泰
1723,中鋼碳素
3041,揚智
2505,國揚
2107,厚生
1618,合機
9937,全國
2022,聚亨
1725,元禎
2504,國產
9942,茂順
2345,智邦
2483,百容
2537,春池
2340,光磊
1464,得力
2420,新巨
3049,和鑫
3015,全漢
1218,泰山
3051,力特
2031,新光鋼
1529,樂士
1104,環泥
2888,新光金
1443,立益
1441,大東
2344,華邦電子
1232,大統益
2845,遠東銀
1712,興農
1704,榮化
1220,台榮
2501,國建
2528,皇普
1305,華夏
2534,宏盛
2454,聯發科
2382,廣達
1471,首利
1503,士電
2360,致茂
2820,華票
1102,亞泥
1727,中華化
2373,震旦行
2546,根基
2472,立隆電
1507,永大
2855,統一證
1519,華城
1733,五鼎
1110,東泥
2613,中櫃
2462,良得電
2499,東貝
2314,台揚
1460,宏遠
3043,科風
1449,佳和
2915,潤泰全
2352,明基
2482,連宇
1903,士紙
2434,統懋
6153,嘉聯益
