Date,Open,High,Low,Close,Adj Close,Volume
2016-05-16,59.150002,59.700001,59.099998,59.599998,56.753975,6628000
2016-05-17,59.650002,60.099998,59.250000,60.049999,57.182487,12335000
2016-05-18,59.700001,60.000000,59.250000,59.950001,57.087265,8561000
2016-05-19,60.000000,60.049999,59.299999,59.650002,56.801590,7901000
2016-05-20,null,null,null,null,null,null
2016-05-23,null,null,null,null,null,null
2016-05-24,null,null,null,null,null,null
2016-05-25,61.750000,62.250000,61.750000,62.000000,59.039371,25843000
2016-05-26,62.049999,62.150002,61.799999,62.150002,59.182209,26033000
2016-05-27,62.400002,62.650002,62.200001,62.599998,59.610722,25697000
2016-05-30,62.599998,63.349998,62.500000,63.150002,60.134460,26891000
2016-05-31,63.049999,63.349998,62.799999,63.150002,60.134460,8663000
2016-06-01,62.950001,63.849998,62.950001,63.700001,60.658195,24969000
2016-06-02,63.700001,64.050003,63.400002,63.700001,60.658195,13712000
2016-06-03,null,null,null,null,null,null
2016-06-04,null,null,null,null,null,null
2016-06-06,null,null,null,null,null,null
2016-06-07,null,null,null,null,null,null
2016-06-08,null,null,null,null,null,null
2016-06-13,64.300003,64.449997,63.700001,63.750000,60.705807,9485000
2016-06-14,null,null,null,null,null,null
2016-06-15,null,null,null,null,null,null
2016-06-16,null,null,null,null,null,null
2016-06-17,63.849998,64.400002,63.849998,64.050003,60.991482,5794000
2016-06-20,null,null,null,null,null,null
2016-06-21,null,null,null,null,null,null
2016-06-22,64.949997,64.949997,64.949997,64.949997,61.848499,4000
2016-06-23,null,null,null,null,null,null
2016-06-24,null,null,null,null,null,null
2016-06-27,63.750000,63.750000,63.750000,63.750000,60.705807,13000
2016-06-28,null,null,null,null,null,null
2016-06-29,null,null,null,null,null,null
2016-06-30,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-07-04,66.300003,66.300003,66.300003,66.300003,63.134041,19000
2016-07-05,66.099998,66.099998,66.099998,66.099998,62.943588,1000
2016-07-06,null,null,null,null,null,null
2016-07-07,65.699997,65.699997,65.699997,65.699997,62.562687,1000
2016-07-08,null,null,null,null,null,null
2016-07-11,null,null,null,null,null,null
2016-07-12,null,null,null,null,null,null
2016-07-13,null,null,null,null,null,null
2016-07-14,null,null,null,null,null,null
2016-07-15,null,null,null,null,null,null
2016-07-18,null,null,null,null,null,null
2016-07-19,null,null,null,null,null,null
2016-07-20,null,null,null,null,null,null
2016-07-21,null,null,null,null,null,null
2016-07-22,null,null,null,null,null,null
2016-07-25,null,null,null,null,null,null
2016-07-26,null,null,null,null,null,null
2016-07-27,null,null,null,null,null,null
2016-07-28,null,null,null,null,null,null
2016-07-29,null,null,null,null,null,null
2016-08-01,68.800003,69.449997,68.800003,69.300003,65.990784,10395000
